"Country","Document","Year of Submission","HazardSystem","HazardPriority","HazardAction","HazardResult","SystemPriority","SystemAction","SystemResult","Ev_HazardSystem","Ev_HazardPriority","Ev_HazardAction","Ev_HazardResult","Ev_SystemPriority","Ev_SystemAction","Ev_SystemResult"
"Gabon","BTR",2024,1,1,0,0,1,0,0,"[6087 • System at risk] In addition to these floodings, there are also significant saline intrusions, especially in dry season (between June and September), when the Ogooué is less loaded with fresh water.","[6115 • Adaptation priorities] Develop the watersheds of Greater Libreville and the main flood-prone cities of countries, including Port-Gentil, Mouila, Lambaréné, Franceville.",NA,NA,"[6113 • Adaptation priorities] Strengthening the financing framework for adaptation and mitigation policies, based on the search for public-private partnerships, on the sustained mobilization of finance climate, in the form of resu…",NA,NA
"Ghana","BTR",2024,1,1,1,0,1,1,1,"[1229 • System at risk] Heat-related deaths among the elderly (65+ years) are projected to rise significantly, reaching almost 70 deaths per 100,000 by 2080, compared to an estimated baseline of fewer than 2 deaths per 100,0…","[1267 • Adaptation priorities] Climate-Smart Agriculture Practices: Implementing improved water management to enhance efficiency; Using drought-resistant crops to withstand climate variability; Integrating nutrient management to bo…","[1308 • Action] Under the Ministry of Works and Housing (MWH), HSD has operated and manages primary storm drains, coordinates coastal protection works, and monitors surface water bodies concerning floods.",NA,"[1242 • Adaptation priorities] Develop Climate-resilient Agriculture and Food Security Systems","[1266 • Action] With support from the government of the Netherlands, Ghana conducted its inaugural vulnerability assessment (VA) study in 2008 and has since been supported by other development partners such as IISD, …","[1294 • Result] Alternative Livelihoods: Improving access to natural resources and increasing incomes, benefiting over a million people."
"Greece","BTR",2024,1,1,1,0,1,1,1,"[1334 • System at risk] September 2023 was the month with the largest wet anomaly, which was observed in the region of Thessaly after extreme rainfall associated with the storm Daniel; this event led to an exceptional amount…","[1366 • Adaptation priorities] Different funding streams that can provide funds for the implementation of actions that contribute to adaptation, especially in sectors of high vulnerability (i.e. agriculture, water management and fl…","[1407 • Action] A new National Committee to Combat Desertification has been established in 2021 and mandated to review and revise the National Action Plan for Combating Desertification.",NA,"[1364 • Adaptation priorities] Sectoral analyses of the progress in mainstreaming adaptation into the NAS’s key adaptation sectors have been drafted; Workshops to identify measures to further increase adaptation mainstreaming into …","[1407 • Action] A new National Committee to Combat Desertification has been established in 2021 and mandated to review and revise the National Action Plan for Combating Desertification.","[1413 • Result] National Adaptation Observatory (NAO) will develop and operate the open-access national database of climate data and information, building on the results of ongoing activities & initiatives at a natio…"
"Guyana","BTR",2024,1,1,0,0,1,0,0,"[2202 • System at risk] Incremental climate change and extreme events cause wildfire with the consequence that agricultural land (particularly for smallholders in the hinterland) is damaged or destroyed and food security is …","[2232 • Adaptation priorities] Strengthen institutional capacity of Government to manage water levels in the East Demerara Water Conservancy and to guide interventions aimed at reducing vulnerability to flooding",NA,NA,"[2231 • Adaptation priorities] Expand current extension services to farmers to include provision of etraining (where Internet access permits) in agronomic farming practices; and continued improvement and implementation of the ‘Six-…",NA,NA
"Honduras","BTR",2024,1,1,1,0,1,1,0,"[6143 • Hazard] Regarding the average annual precipitation, long-term reductions are expected in all scenarios and regions (with a 10% reduction for the RCP scenario 8.5). The above implies an intensification of drou…","[6155 • Adaptation priorities] Reduce the incidence and number of people affected by disease vectors","[6183 • Action] Constant monitoring of climate-sensitive diseases, incidence of vector-borne diseases and those derived from sources of water pollution",NA,"[6154 • Adaptation priorities] Protect sources suppliers and producers of water for contribute to improving the quality and quantity of drinking water available to the population for use domestic","[6183 • Action] Constant monitoring of climate-sensitive diseases, incidence of vector-borne diseases and those derived from sources of water pollution",NA
"Indonesia","BTR",2024,1,1,1,0,1,1,1,"[2620 • System at risk] Climate variability can impact the sustainability of water resources by increasing the risks of floods and droughts.","[2644 • Adaptation priorities] Enhancing disease surveillance","[2695 • Action] Genta Organik (Gerakan Tani Pro Organik), encourages farmers to independently produce and use organic fertilizers and natural pesticides. This program has been implemented in 1,020 farmer group field …",NA,"[2654 • Adaptation priorities] Protection and restoration of ecosystems","[2703 • Action] Up until 2022, the social forestry program has distributed access rights for forest area utilization to communities covering 5.31 million hectares, 1.1 million households, with 7,644 units of decree.","[2688 • Result] In 2022, 2,070 farming business operators have obtained access to financing through credit and funding facilitation programs"
"Ireland","BTR",2024,1,0,0,0,0,1,1,"[2730 • Hazard] Extreme Precipitation, River Flood, Pluvial Flood, Groundwater Flood, Landslide, Drought, Agricultural and Ecological Drought",NA,NA,NA,NA,"[2738 • Action] Sub-nationally, in January 2018, the Irish Government established four CAROs. The four CAROs are: Atlantic Seaboard North, Atlantic Seaboard South, Dublin Metropolitan Region, and Eastern and Midlands…","[2739 • Result] The new NAF specifies 13 actions that requires the Department of Environment, Climate and Communications and other stakeholders to address. Action 1 was completed on the 28th August with the publicati…"
"Israel","BTR",2025,1,0,1,0,1,1,0,"[1432 • System at risk] In April 2018, a pre-military preparatory school, consisting of youth between the ages of 17- 18, lost 10 participants. This disaster was a result of an intense flash flood that occurred where they we…",NA,"[1447 • Action] Government resolution 1091: ""National plan to deal with forest fires, groves and open areas"", February 2022 . This resolution focuses on mitigating the risks of forest fires, an essential goal conside…",NA,"[1435 • Adaptation priorities] In the implementation of the National Adaptation Plan, vulnerable populations are to be addressed by ensuring adaptability for all sectors of society","[1445 • Action] Government resolution 4079: ""Israel's Preparedness for Adaptation to Climate Change"", July 2018 . [94] The goal is to reach a high level of preparedness for the effects of a changing climate, reduce t…",NA
"Italy","BTR",2024,0,0,1,0,0,1,0,NA,NA,"[1471 • Action] In 2021, a funding Programme for urban adaptation was launched by the Ministry for Environment and energy Security. This Programme is aimed at increasing the resilience of cities to the risks of clima…",NA,NA,"[1474 • Action] In 2022, the MASE in collaboration with ISPRA has launched the National Adaptation Platform64 which intends to foster the exchange of information between the Central Administration, Local Authorities …",NA
"Kazakhstan","BTR",2024,1,1,0,0,1,1,0,"[2759 • System at risk] Warming in Kazakhstan is projected to occur faster than the global average, with temperatures expected to rise by 1.6 °C to 5.3 °C by the 2090s19. These changes amplify the risks of heat stress for th…","[2830 • Adaptation priorities] Upgrading infrastructure to prevent and alleviate increasing risks of floods and droughts",NA,NA,"[2836 • Adaptation priorities] Increasing the forest cover of water bodies’ catchment areas is planned as one of the measures to reduce the shortage of water resources.","[2827 • Action] Preventing overgrazing, and ensuring sustainable management and protection of pastures",NA
"Kenya","BTR",2024,1,1,1,1,1,1,1,"[7520 • System at risk] The 2008 – 2011 drought is estimated to have cost Kenya USD12.1 billion, including USD 805.6 million for the destruction of physical and durable assets","[7601 • Adaptation priorities] Drought risk management, including drought early warning, preparedness, and response for enhanced drought resilience","[7669 • Action] The Government operationalized the National Drought Emergency Fund (NDEF), and gazetted and sensitized the members of the County Drought and Food Security Committees (CDFSC) for county level coordinat…","[7764 • Result] Awareness and sensitization programmes on water use efficiency continued to be implemented across counties for the purpose of enhancing water harvesting and conservation. Regular inspection of water q…","[7603 • Adaptation priorities] Mainstream CSA towards increased productivity through value chain approach to support the transformation of agriculture (crops, livestock and fisheries) into an innovative, commercially oriented, comp…","[7669 • Action] The Government operationalized the National Drought Emergency Fund (NDEF), and gazetted and sensitized the members of the County Drought and Food Security Committees (CDFSC) for county level coordinat…","[7762 • Result] In the coast of Kenya, over 600 Ha of mangrove forests were either planted or rehabilitated to protect the coastline and sustain ecosystem services for the coastal communities; this is key for their l…"
"Latvia","BTR",2024,1,1,1,0,1,1,1,"[1505 • System at risk] Damage to buildings on the sea coast and estuaries (due to coastal erosion and flooding)","[1589 • Adaptation priorities] Establishment of a control system for limiting the spread of foreign invasive species, harmful substances and pathogenic organisms","[1599 • Action] The EPG2027 is a medium-term policy planning document for the environmental protection sector. It is developed in accordance with the NDP 2027 and the strategic objectives of the European Green Deal. …",NA,"[1588 • Adaptation priorities] Reduction of the negative impacts of climate change in ecosystems and preservation and restoration of biodiversity of species","[1487 • Action] 14 cities and counties have developed Sustainable Energy and Climate Action Plans. These plans are consistent with National plans and strategies.","[1611 • Result] In the report “Past and future climate change in Latvia” LEGMC has analysed past climate change in Latvia and developed climate change scenarios for Latvia for the period until the year 2100"
"Lebanon","BTR",2024,1,1,1,1,1,1,1,"[1662 • System at risk] The heatwaves of 2007 and 2010 caused temperatures to spike above 40°C for extended periods, leading to widespread forest fires and agricultural losses.","[1744 • Adaptation priorities] Lebanon’s National Biodiversity Strategy and Action Plan (NBSAP) 2016-2030 integrates ecosystem-based adaptation (EbA) to address climate vulnerabilities by leveraging natural ecosystems to reduce ris…","[1738 • Action] Watershed management plans are being developed for drought-prone regions, integrating water considerations into urban and rural land-use planning","[1750 • Result] 148 adaptation actions have been identified, reflecting Lebanon’s sectoral vulnerabilities, such as water scarcity exacerbated by inefficient irrigation, public health risks linked to climate-induced …","[1744 • Adaptation priorities] Lebanon’s National Biodiversity Strategy and Action Plan (NBSAP) 2016-2030 integrates ecosystem-based adaptation (EbA) to address climate vulnerabilities by leveraging natural ecosystems to reduce ris…","[1742 • Action] The National Forest Program (2015-2025) integrates climate change adaptation into forestry management, promoting ecosystem resilience and sustainable forest management practices to mitigate the effect…","[1749 • Result] The development of Lebanon’s National Adaptation Strategy (NAS) and National Adaptation Plan (NAP) under the GCF NAP readiness project is contributing to advancing analysis of progress through the ass…"
"Lithuania","BTR",2024,1,1,1,0,1,1,0,"[2875 • System at risk] Increase in diseases and pests","[2898 • Adaptation priorities] To apply flood protection measures to all residents in flood-prone areas","[2909 • Action] As part of the implementation of the first Flood Risk Management Plan, the Water Management Program 2017–2023 and the Action Implementation Plan 2017–2023, a wide range of engineering and nonstructura…",NA,"[2900 • Adaptation priorities] The proportion of dangerous, natural disasters and catastrophic meteorological events predicted is at least 90 % of the actual events.","[2912 • Action] Workshops and stakeholder seminars were organized to facilitate discussions with municipal administration representatives and local stakeholders, including community groups and sectoral experts. Durin…",NA
"Luxembourg","BTR",2025,1,0,0,0,0,0,0,"[3120 • System at risk] The risk of flooding is the most present natural risk in Luxembourg that could affect a large number of people and cause the most economic damage",NA,NA,NA,NA,NA,NA
"Maldives","BTR",2024,1,1,1,0,1,1,1,"[2971 • System at risk] On 14 May 2021, when torrential rain, strong gusts of wind, and tidal surges caused significant damage to the airport terminal, runway, and connecting causeway in HA. Hoarafushi island, halting airpor…","[2993 • Adaptation priorities] There is a need to collect comprehensive elevation data for future development projects to assess the impacts of sea-level rise effectively","[3005 • Action] MMS, in coordination with the HPA, issues public health alerts on extreme heat and related health hazards through the Common Alert Protocols. For instance, on 12 March 2024, public health warnings and…",NA,"[2952 • Adaptation priorities] Implementation and promotion of contract farming and programmes to produce crops to enhance food security by reducing the dependence on agricultural imports, thus decreasing the vulnerability to shock…","[3068 • Action] An ongoing project Enhancing Sustainable Climate Adaptation PracticEs (ESCAPE) supported by the USAID Climate Adaptation Project (CAP) aims to carry out research to develop a set of designs and guidel…","[3067 • Result] In 2021, the Ministry of Tourism initiated a Re-imagining Tourism project (UNDP, 2021) to enhance sustainable tourism in Laamu Atoll and the Maldives, partnering with MCCEE and UNDP. The project inclu…"
"Malta","BTR",2024,1,0,1,0,0,1,0,"[3380 • System at risk] Malta faces water scarcity due to its semi-arid Mediterranean climate, limited rainfall, and reliance on groundwater, which is affected by nitrate pollution and seawater intrusion. Climate change exac…",NA,"[3390 • Action] Studies to identify new areas for water catchment infrastructure. This study set out to identify areas where reservoirs and retention systems can be developed (preferably located within the urban cont…",NA,NA,"[3386 • Action] A comprehensive study of the current hydrological cycle monitoring capacity and new hydrological data modelling and management. This measure involves a study which aims to better understand the hydrol…",NA
"Mauritius","BTR",2024,1,1,0,0,1,0,1,"[3432 • System at risk] Reduced food security through: Lower total catch size, Increased toxicity of fish catch (algae related), and - Cyclones preventing fishermen going to sea and destroying boats and equipment","[3458 • Adaptation priorities] Devising strategies and policies to facilitate the uptake of Integrated Pest and Disease Management (IPDM) practices",NA,NA,"[3446 • Adaptation priorities] Mauritius is in the process of developing a comprehensive and cross-cutting National Adaptation Plan. Mauritius intends to develop complete and comprehensive vulnerability assessments across the ident…",NA,"[3470 • Result] The MauRegistry is an effective tracking tool. Developed as an online platform to track NDC action plan, it will be used for monitoring and evaluation of adaptation actions and effectiveness of proces…"
"Mexico","BTR",2024,1,1,0,0,1,1,1,"[6332 • System at risk] In 2021, hydrometeorological phenomena, mainly tropical cyclones, severe rains and floods affected 196 municipalities in the country, of which 31.1% have a high degree of arginalization, while 10.8% …","[6335 • Adaptation priorities] Reduce the impacts on the human health of the population due to effects and diseases (dengue, heat stroke, among others) others) related to climate change",NA,NA,"[6347 • Adaptation priorities] Reverse degradation, loss and pollution of ecosystems natural in order to reduce the vulnerability of the population and biodiversity in the face of effects of climate change, through Payment for Serv…","[6348 • Action] The Government of Mexico promotes good practices management and active conservation in the country's forest ecosystems through Payment for Environmental Services (PES) to owners and possessors of fore…","[6349 • Result] Through the National Forestry Commission (CONAFOR) in 2022, 221 projects were benefited, of which 92% correspond to ejidos and communities, and 8% to small landowners forest lands with voluntary commi…"
